Device,Acq Date,Acq Time,Time step,Voc,Jsc,MPP,FF,effic,Light,V_F,J_F,V_R,J_R,Acq Min Voltage,Acq Max Voltage,Acq Start Voltage,Acq Step Voltage,Acq Num Aver Scans,Delay Before Meas,Num Track Points,Track Interval,Operator,Comments
NF170828AF2,8/29/17,15-47-02,0,0.98,0.017046707,0.016705773,100,1.23E-05,TRUE,0,9.451933486,0,9.451933486,0,1,0,0.02,5,1,5,2,Nicola,This is a test for Gridedge
,8/29/17,15-47-04,1,0.98,2905902.143,2557193.886,89.79591837,1880.289622,,0.02,9.451933486,0.02,9.451933486,,,,,,,,,,
,8/29/17,15-47-05,2,0.98,92601.72513,81489.51812,89.79591837,59.91876332,,0.04,9.451933486,0.04,9.451933486,,,,,,,,,,
,8/29/17,15-47-06,3,0.98,0.000384868,0.000377171,100,2.77E-07,,0.06,9.451933486,0.06,9.451933486,,,,,,,,,,
,8/29/17,15-47-08,4,0.98,9.451933486,8.128662798,87.75510204,0.005976958,,0.08,9.451933486,0.08,9.451933486,,,,,,,,,,
,,,,,,,,,,0.1,9.451933485,0.1,9.451933485,,,,,,,,,,
,,,,,,,,,,0.12,9.451933484,0.12,9.451933484,,,,,,,,,,
,,,,,,,,,,0.14,9.451933483,0.14,9.451933483,,,,,,,,,,
,,,,,,,,,,0.16,9.45193348,0.16,9.45193348,,,,,,,,,,
,,,,,,,,,,0.18,9.451933476,0.18,9.451933476,,,,,,,,,,
,,,,,,,,,,0.2,9.451933469,0.2,9.451933469,,,,,,,,,,
,,,,,,,,,,0.22,9.451933457,0.22,9.451933457,,,,,,,,,,
,,,,,,,,,,0.24,9.451933438,0.24,9.451933438,,,,,,,,,,
,,,,,,,,,,0.26,9.451933405,0.26,9.451933405,,,,,,,,,,
,,,,,,,,,,0.28,9.45193335,0.28,9.45193335,,,,,,,,,,
,,,,,,,,,,0.3,9.451933257,0.3,9.451933257,,,,,,,,,,
,,,,,,,,,,0.32,9.451933103,0.32,9.451933103,,,,,,,,,,
,,,,,,,,,,0.34,9.451932844,0.34,9.451932844,,,,,,,,,,
,,,,,,,,,,0.36,9.45193241,0.36,9.45193241,,,,,,,,,,
,,,,,,,,,,0.38,9.451931684,0.38,9.451931684,,,,,,,,,,
,,,,,,,,,,0.4,9.451930468,0.4,9.451930468,,,,,,,,,,
,,,,,,,,,,0.42,9.451928431,0.42,9.451928431,,,,,,,,,,
,,,,,,,,,,0.44,9.451925018,0.44,9.451925018,,,,,,,,,,
,,,,,,,,,,0.46,9.451919303,0.46,9.451919303,,,,,,,,,,
,,,,,,,,,,0.48,9.451909731,0.48,9.451909731,,,,,,,,,,
,,,,,,,,,,0.5,9.451893698,0.5,9.451893698,,,,,,,,,,
,,,,,,,,,,0.52,9.451866845,0.52,9.451866845,,,,,,,,,,
,,,,,,,,,,0.54,9.451821868,0.54,9.451821868,,,,,,,,,,
,,,,,,,,,,0.56,9.451746536,0.56,9.451746536,,,,,,,,,,
,,,,,,,,,,0.58,9.451620362,0.58,9.451620362,,,,,,,,,,
,,,,,,,,,,0.6,9.451409033,0.6,9.451409033,,,,,,,,,,
,,,,,,,,,,0.62,9.451055077,0.62,9.451055077,,,,,,,,,,
,,,,,,,,,,0.64,9.450462235,0.64,9.450462235,,,,,,,,,,
,,,,,,,,,,0.66,9.449469279,0.66,9.449469279,,,,,,,,,,
,,,,,,,,,,0.68,9.447806174,0.68,9.447806174,,,,,,,,,,
,,,,,,,,,,0.7,9.445020629,0.7,9.445020629,,,,,,,,,,
,,,,,,,,,,0.72,9.440355106,0.72,9.440355106,,,,,,,,,,
,,,,,,,,,,0.74,9.432540797,0.74,9.432540797,,,,,,,,,,
,,,,,,,,,,0.76,9.419452571,0.76,9.419452571,,,,,,,,,,
,,,,,,,,,,0.78,9.397531033,0.78,9.397531033,,,,,,,,,,
,,,,,,,,,,0.8,9.360814538,0.8,9.360814538,,,,,,,,,,
,,,,,,,,,,0.82,9.29931789,0.82,9.29931789,,,,,,,,,,
,,,,,,,,,,0.84,9.196316839,0.84,9.196316839,,,,,,,,,,
,,,,,,,,,,0.86,9.023799848,0.86,9.023799848,,,,,,,,,,
,,,,,,,,,,0.88,8.734850251,0.88,8.734850251,,,,,,,,,,
,,,,,,,,,,0.9,8.250887083,0.9,8.250887083,,,,,,,,,,
,,,,,,,,,,0.92,7.440294683,0.92,7.440294683,,,,,,,,,,
,,,,,,,,,,0.94,6.082629298,0.94,6.082629298,,,,,,,,,,
,,,,,,,,,,0.96,3.808668555,0.96,3.808668555,,,,,,,,,,
,,,,,,,,,,0.98,0,0.98,0,,,,,,,,,,
